Date	SAS2(degC)<Average>	SAS1(degC)<Average>	TUNNEL6(degC)<Average>	CHAMBRE8(degC)<Average>	TEMP_EXTERIEURE(degC)<Average>	CHAMBRE9(degC)<Average>	TUNNEL5(degC)<Average>	TEMP_QUAI(degC)<Average>	SDM2(degC)<Average>	CONDUCTIVITE(mS)<Average>	PRESSION BP(Bars)<Average>	PRESSION HP_0(Bars)<Average>	PRESSION HP(Bars)<Average>	COMPTEUR EAU GENERAL(m3)	COMPTEUR EAU SALLE DES MACHINES(m3)
03/07/2017 21:00:00 	16.3475437164	13.6999998093	-31.6000003815	-20.1000003815	25.1738243103	-19	-33	18.2117538452	26.7415294647	1357.2144775391	-4.2493271828	-6.2499918938	-6.2502055168	5958	47073
03/07/2017 20:50:00 	16.3999996185	13.6999998093	-31.6000003815	-20.1000003815	25.9605255127	-19	-33.0313491821	18.2213935852	26.7999992371	1395.4158935547	-4.2493476868	-6.2500000000	-6.2502045631	5958	47073
03/07/2017 20:40:00 	16.3999996185	13.6907377243	-31.5992755890	-20.1055717468	28.5213699341	-19	-33.0900993347	18.2000007629	26.8889446259	1378.7038574219	-4.2492728233	-6.2500000000	-6.2501296997	5958	47073
03/07/2017 20:30:00 	16.3999996185	13.6999998093	-31.5000000000	-20.1640815735	30.0882110596	-19	-33.0023956299	18.2000007629	26.8947601318	1359.9012451172	-4.2493295670	-6.2500000000	-6.2502260208	5958	47073
03/07/2017 20:20:00 	16.3999996185	13.7495775223	-31.4210968018	-20.1795940399	31.1953086853	-19	-32.9981536865	18.1684665680	26.8969287872	1340.1033935547	-4.2493400574	-6.2500000000	-6.2502465248	5958	47073
03/07/2017 20:10:00 	16.4392147064	13.8000001907	-31.3522396088	-20.2000007629	28.8051509857	-19	-32.9209861755	18.1120262146	26.8999996185	1319.3630371094	-4.2493233681	-6.2500000000	-6.2502555847	5958	47073
03/07/2017 20:00:00 	16.5000000000	13.8000001907	-31.2999992371	-20.2000007629	29.2521114349	-19	-32.9000015259	18.1000003815	26.9256496429	1285.8354492188	-4.2493171692	-6.2500000000	-6.2502522469	5958	47073
03/07/2017 19:50:00 	16.5000000000	13.8000001907	-31.2504997253	-20.2000007629	27.6997585297	-19	-32.9000015259	18.0246372223	26.9131202698	1392.4981689453	-4.2493343353	-6.2500000000	-6.2502737045	5958	47073
03/07/2017 19:40:00 	16.5339202881	13.8000001907	-31.2000007629	-20.2000007629	26.7192687988	-19	-32.9291458130	17.9461212158	27	1386.6668701172	-4.2493090630	-6.2500000000	-6.2501730919	5958	47073
03/07/2017 19:30:00 	16.6000003815	13.8000001907	-31.2000007629	-20.2000007629	25.9126930237	-19.0173377991	-33	17.8999996185	27.0037155151	1368.7730712891	-4.2493605614	-6.2500000000	-6.2501893044	5958	47073
03/07/2017 19:20:00 	16.6285991669	13.8000001907	-31.1196689606	-20.2000007629	26.8536796570	-19	-32.9448204041	17.8999996185	27.0475788116	1348.0683593750	-4.2492609024	-6.2500000000	-6.2501945496	5958	47073
