id	Date / Heure	1[°C]	2[°C]		
1	07/07/2017 14:34:22	22,10	16,40		
2	07/07/2017 15:34:22	21,20	15,00		
3	07/07/2017 16:34:22	20,40	12,50		
4	07/07/2017 17:34:22	18,60	6,70		
5	07/07/2017 18:34:22	15,50	0,20		
6	07/07/2017 19:34:22	12,50	-4,70		
7	07/07/2017 20:34:22	10,10	-7,80		
8	07/07/2017 21:34:22	8,70	-8,80		
9	07/07/2017 22:34:22	6,70	-11,40		
10	07/07/2017 23:34:22	4,50	-13,70		
11	08/07/2017 00:34:22	2,30	-15,10		
12	08/07/2017 01:34:22	0,30	-16,00		
13	08/07/2017 02:34:22	-1,40	-16,80		
14	08/07/2017 03:34:22	-3,20	-17,90		
15	08/07/2017 04:34:22	-4,80	-18,90		
16	08/07/2017 05:34:22	-6,20	-19,80		
17	08/07/2017 06:34:22	-7,50	-20,60		
18	08/07/2017 07:34:22	-8,80	-21,40		
19	08/07/2017 08:34:22	-10,00	-22,10		
20	08/07/2017 09:34:22	-11,10	-22,80		
21	08/07/2017 10:34:22	-12,10	-23,30		
22	08/07/2017 11:34:22	-13,10	-23,80		
23	08/07/2017 12:34:22	-14,00	-24,20		
24	08/07/2017 13:34:22	-14,80	-24,60		
25	08/07/2017 14:34:22	-15,50	-25,00		
26	08/07/2017 15:34:22	-16,20	-25,30		
27	08/07/2017 16:34:22	-16,80	-25,60		
28	08/07/2017 17:34:22	-17,40	-25,90		
29	08/07/2017 18:34:22	-17,90	-26,20		
30	08/07/2017 19:34:22	-18,30	-26,40		
31	08/07/2017 20:34:22	-18,70	-26,70		
32	08/07/2017 21:34:22	-19,00	-26,90		
33	08/07/2017 22:34:22	-19,20	-27,10		
34	08/07/2017 23:34:22	-19,30	-27,40		
35	09/07/2017 00:34:22	-19,50	-27,70		
36	09/07/2017 01:34:22	-19,60	-27,90		
37	09/07/2017 02:34:22	-19,70	-28,10		
38	09/07/2017 03:34:22	-19,90	-28,30		
39	09/07/2017 04:34:22	-20,10	-28,40		
40	09/07/2017 05:34:22	-20,50	-28,60		
41	09/07/2017 06:34:22	-20,90	-28,60		
42	09/07/2017 07:34:22	-21,20	-28,80		
43	09/07/2017 08:34:22	-21,50	-28,90		
44	09/07/2017 09:34:22	-21,80	-29,00		
45	09/07/2017 10:34:22	-22,00	-28,70		
46	09/07/2017 11:34:22	-22,10	-28,30		
47	09/07/2017 12:34:22	-22,20	-27,80		
48	09/07/2017 13:34:22	-22,20	-27,30		
49	09/07/2017 14:34:22	-22,20	-26,70		
50	09/07/2017 15:34:22	-22,30	-26,20		
51	09/07/2017 16:34:22	-22,20	-25,70		
52	09/07/2017 17:34:22	-22,20	-25,20		
53	09/07/2017 18:34:22	-22,20	-24,80		
54	09/07/2017 19:34:22	-22,20	-24,30		
55	09/07/2017 20:34:22	-22,10	-23,90		
56	09/07/2017 21:34:22	-22,10	-23,90		
57	09/07/2017 22:34:22	-22,20	-23,70		
58	09/07/2017 23:34:22	-22,10	-23,50		
59	10/07/2017 00:34:22	-22,00	-23,20		
60	10/07/2017 01:34:22	-22,10	-23,30		
61	10/07/2017 02:34:22	-22,10	-23,20		
62	10/07/2017 03:34:22	-22,10	-23,00		
63	10/07/2017 04:34:22	-22,10	-22,80		
64	10/07/2017 05:34:22	-22,10	-22,80		
65	10/07/2017 06:34:22	-22,10	-22,80		
66	10/07/2017 07:34:22	-22,20	-22,70		
67	10/07/2017 08:34:22	-22,00	-22,00		
68	10/07/2017 09:34:22	-22,00	-21,80		
69	10/07/2017 10:34:22	-22,00	-21,90		
70	10/07/2017 11:34:22	-22,00	-21,80		
