id	Date / Heure	1[°C]	2[°C]		
1	07/07/2017 14:53:00	20,00	13,90		
2	07/07/2017 15:53:00	19,70	12,90		
3	07/07/2017 16:53:00	19,60	10,00		
4	07/07/2017 17:53:00	17,20	1,40		
5	07/07/2017 18:53:00	14,30	-5,30		
6	07/07/2017 19:53:00	11,30	-10,40		
7	07/07/2017 20:53:00	9,10	-11,90		
8	07/07/2017 21:53:00	7,70	-13,30		
9	07/07/2017 22:53:00	5,20	-16,40		
10	07/07/2017 23:53:00	2,80	-18,40		
11	08/07/2017 00:53:00	0,50	-19,00		
12	08/07/2017 01:53:00	-1,60	-19,50		
13	08/07/2017 02:53:00	-3,60	-20,30		
14	08/07/2017 03:53:00	-5,60	-21,50		
15	08/07/2017 04:53:00	-7,30	-22,60		
16	08/07/2017 05:53:00	-8,90	-23,40		
17	08/07/2017 06:53:00	-10,40	-24,20		
18	08/07/2017 07:53:00	-11,70	-24,90		
19	08/07/2017 08:53:00	-12,90	-25,50		
20	08/07/2017 09:53:00	-14,00	-26,00		
21	08/07/2017 10:53:00	-15,00	-26,40		
22	08/07/2017 11:53:00	-15,90	-26,80		
23	08/07/2017 12:53:00	-16,70	-27,20		
24	08/07/2017 13:53:00	-17,40	-27,50		
25	08/07/2017 14:53:00	-17,60	-27,70		
26	08/07/2017 15:53:00	-17,30	-28,00		
27	08/07/2017 16:53:00	-17,60	-28,20		
28	08/07/2017 17:53:00	-18,10	-28,40		
29	08/07/2017 18:53:00	-18,70	-28,60		
30	08/07/2017 19:53:00	-19,20	-28,70		
31	08/07/2017 20:53:00	-19,80	-28,80		
32	08/07/2017 21:53:00	-20,20	-28,90		
33	08/07/2017 22:53:00	-20,70	-29,20		
34	08/07/2017 23:53:00	-21,10	-29,40		
35	09/07/2017 00:53:00	-21,40	-29,60		
36	09/07/2017 01:53:00	-21,80	-29,70		
37	09/07/2017 02:53:00	-22,10	-29,90		
38	09/07/2017 03:53:00	-22,50	-30,00		
39	09/07/2017 04:53:00	-22,80	-30,20		
40	09/07/2017 05:53:00	-23,10	-30,20		
41	09/07/2017 06:53:00	-23,50	-30,20		
42	09/07/2017 07:53:00	-23,80	-30,30		
43	09/07/2017 08:53:00	-24,10	-30,40		
44	09/07/2017 09:53:00	-24,40	-30,40		
45	09/07/2017 10:53:00	-24,50	-30,10		
46	09/07/2017 11:53:00	-24,60	-29,60		
47	09/07/2017 12:53:00	-24,70	-29,10		
48	09/07/2017 13:53:00	-24,70	-28,50		
49	09/07/2017 14:53:00	-24,70	-27,90		
50	09/07/2017 15:53:00	-24,80	-27,40		
51	09/07/2017 16:53:00	-24,80	-26,80		
52	09/07/2017 17:53:00	-24,80	-26,30		
53	09/07/2017 18:53:00	-24,70	-25,80		
54	09/07/2017 19:53:00	-24,70	-25,30		
55	09/07/2017 20:53:00	-24,60	-24,90		
56	09/07/2017 21:53:00	-24,60	-24,90		
57	09/07/2017 22:53:00	-24,60	-24,70		
58	09/07/2017 23:53:00	-24,60	-24,40		
59	10/07/2017 00:53:00	-24,50	-24,10		
60	10/07/2017 01:53:00	-24,60	-24,10		
61	10/07/2017 02:53:00	-24,50	-24,00		
62	10/07/2017 03:53:00	-24,50	-23,80		
63	10/07/2017 04:53:00	-24,30	-23,50		
64	10/07/2017 05:53:00	-24,40	-23,60		
65	10/07/2017 06:53:00	-24,40	-23,60		
66	10/07/2017 07:53:00	-24,60	-23,40		
67	10/07/2017 08:53:00	-24,10	-22,50		
68	10/07/2017 09:53:00	-24,20	-22,50		
69	10/07/2017 10:53:00	-24,20	-22,50		
70	10/07/2017 11:53:00	-24,20	-22,40		
