id	Date / Heure	1[°C]	2[°C]		
1	07/07/2017 14:13:04	19,70	23,00		
2	07/07/2017 15:13:04	15,60	20,20		
3	07/07/2017 16:13:04	12,70	19,40		
4	07/07/2017 17:13:04	5,50	16,60		
5	07/07/2017 18:13:04	-3,70	9,60		
6	07/07/2017 19:13:04	-10,70	4,00		
7	07/07/2017 20:13:04	-14,30	-1,00		
8	07/07/2017 21:13:04	-14,70	-1,60		
9	07/07/2017 22:13:04	-17,70	-4,10		
10	07/07/2017 23:13:04	-19,80	-7,70		
11	08/07/2017 00:13:04	-20,70	-10,70		
12	08/07/2017 01:13:04	-21,30	-13,20		
13	08/07/2017 02:13:04	-22,60	-15,30		
14	08/07/2017 03:13:04	-23,90	-16,90		
15	08/07/2017 04:13:04	-24,90	-18,30		
16	08/07/2017 05:13:04	-25,70	-19,00		
17	08/07/2017 06:13:04	-26,40	-19,40		
18	08/07/2017 07:13:04	-27,00	-19,90		
19	08/07/2017 08:13:04	-27,60	-20,50		
20	08/07/2017 09:13:04	-28,00	-21,20		
21	08/07/2017 10:13:04	-28,40	-21,80		
22	08/07/2017 11:13:04	-28,70	-22,30		
23	08/07/2017 12:13:04	-29,00	-22,90		
24	08/07/2017 13:13:04	-29,30	-23,50		
25	08/07/2017 14:13:04	-29,50	-24,10		
26	08/07/2017 15:13:04	-29,70	-24,60		
27	08/07/2017 16:13:04	-29,80	-25,10		
28	08/07/2017 17:13:04	-30,00	-25,50		
29	08/07/2017 18:13:04	-30,10	-26,00		
30	08/07/2017 19:13:04	-30,20	-26,30		
31	08/07/2017 20:13:04	-30,30	-26,70		
32	08/07/2017 21:13:04	-30,30	-27,00		
33	08/07/2017 22:13:04	-30,50	-27,40		
34	08/07/2017 23:13:04	-30,70	-27,70		
35	09/07/2017 00:13:04	-30,90	-28,00		
36	09/07/2017 01:13:04	-31,00	-28,30		
37	09/07/2017 02:13:04	-31,10	-28,60		
38	09/07/2017 03:13:04	-31,20	-28,90		
39	09/07/2017 04:13:04	-31,30	-29,10		
40	09/07/2017 05:13:04	-31,40	-29,30		
41	09/07/2017 06:13:04	-31,40	-29,50		
42	09/07/2017 07:13:04	-31,30	-29,70		
43	09/07/2017 08:13:04	-31,40	-29,80		
44	09/07/2017 09:13:04	-31,40	-29,90		
45	09/07/2017 10:13:04	-31,40	-30,00		
46	09/07/2017 11:13:04	-31,20	-30,00		
47	09/07/2017 12:13:04	-30,60	-30,00		
48	09/07/2017 13:13:04	-30,00	-29,80		
49	09/07/2017 14:13:04	-29,30	-29,70		
50	09/07/2017 15:13:04	-28,60	-29,60		
51	09/07/2017 16:13:04	-28,00	-29,40		
52	09/07/2017 17:13:04	-27,40	-29,30		
53	09/07/2017 18:13:04	-26,70	-29,10		
54	09/07/2017 19:13:04	-26,10	-28,90		
55	09/07/2017 20:13:04	-25,30	-28,30		
56	09/07/2017 21:13:04	-25,20	-28,30		
57	09/07/2017 22:13:04	-25,10	-28,30		
58	09/07/2017 23:13:04	-24,80	-28,10		
59	10/07/2017 00:13:04	-24,40	-27,90		
60	10/07/2017 01:13:04	-24,30	-27,60		
61	10/07/2017 02:13:04	-24,20	-27,60		
62	10/07/2017 03:13:04	-24,00	-27,40		
63	10/07/2017 04:13:04	-23,80	-27,30		
64	10/07/2017 05:13:04	-23,50	-26,90		
65	10/07/2017 06:13:04	-23,60	-26,90		
66	10/07/2017 07:13:04	-23,50	-26,80		
67	10/07/2017 08:13:04	-23,30	-26,90		
68	10/07/2017 09:13:04	-22,70	-26,30		
69	10/07/2017 10:13:04	-22,60	-26,30		
70	10/07/2017 11:13:04	-22,60	-26,20		
71	10/07/2017 12:13:04	-22,70	-28,10		
