id	Date / Heure	1[°C]	2[°C]		
1	07/07/2017 15:04:11	13,90	20,10		
2	07/07/2017 16:04:11	14,10	20,00		
3	07/07/2017 17:04:11	11,70	17,90		
4	07/07/2017 18:04:11	5,30	12,10		
5	07/07/2017 19:04:11	0,00	7,10		
6	07/07/2017 20:04:11	-4,60	2,30		
7	07/07/2017 21:04:11	-4,80	1,30		
8	07/07/2017 22:04:11	-5,80	-0,50		
9	07/07/2017 23:04:11	-8,90	-3,70		
10	08/07/2017 00:04:11	-11,40	-6,50		
11	08/07/2017 01:04:11	-13,20	-8,90		
12	08/07/2017 02:04:11	-14,60	-10,90		
13	08/07/2017 03:04:11	-15,50	-12,60		
14	08/07/2017 04:04:11	-16,20	-14,20		
15	08/07/2017 05:04:11	-16,60	-15,50		
16	08/07/2017 06:04:11	-17,30	-16,70		
17	08/07/2017 07:04:11	-18,30	-17,70		
18	08/07/2017 08:04:11	-19,10	-18,50		
19	08/07/2017 09:04:11	-20,00	-19,10		
20	08/07/2017 10:04:11	-20,70	-18,70		
21	08/07/2017 11:04:11	-21,40	-18,80		
22	08/07/2017 12:04:11	-21,90	-19,30		
23	08/07/2017 13:04:11	-22,50	-19,90		
24	08/07/2017 14:04:11	-23,00	-20,40		
25	08/07/2017 15:04:11	-23,40	-20,90		
26	08/07/2017 16:04:11	-23,80	-21,50		
27	08/07/2017 17:04:11	-24,10	-22,00		
28	08/07/2017 18:04:11	-24,50	-22,50		
29	08/07/2017 19:04:11	-24,80	-23,00		
30	08/07/2017 20:04:11	-25,10	-23,40		
31	08/07/2017 21:04:11	-25,40	-23,70		
32	08/07/2017 22:04:11	-25,60	-24,10		
33	08/07/2017 23:04:11	-26,00	-24,40		
34	09/07/2017 00:04:11	-26,30	-24,80		
35	09/07/2017 01:04:11	-26,60	-25,10		
36	09/07/2017 02:04:11	-26,80	-25,40		
37	09/07/2017 03:04:11	-27,00	-25,80		
38	09/07/2017 04:04:11	-27,20	-26,00		
39	09/07/2017 05:04:11	-27,50	-26,30		
40	09/07/2017 06:04:11	-27,60	-26,60		
41	09/07/2017 07:04:11	-27,70	-26,80		
42	09/07/2017 08:04:11	-27,90	-27,10		
43	09/07/2017 09:04:11	-28,00	-27,30		
44	09/07/2017 10:04:11	-28,00	-27,20		
45	09/07/2017 11:04:11	-27,70	-27,00		
46	09/07/2017 12:04:11	-27,40	-26,90		
47	09/07/2017 13:04:11	-27,10	-26,70		
48	09/07/2017 14:04:11	-26,80	-26,60		
49	09/07/2017 15:04:11	-26,40	-26,40		
50	09/07/2017 16:04:11	-26,00	-26,20		
51	09/07/2017 17:04:11	-25,60	-26,00		
52	09/07/2017 18:04:11	-25,20	-25,80		
53	09/07/2017 19:04:11	-24,80	-25,60		
54	09/07/2017 20:04:11	-24,30	-25,30		
55	09/07/2017 21:04:11	-24,00	-25,30		
56	09/07/2017 22:04:11	-24,00	-25,20		
57	09/07/2017 23:04:11	-23,90	-25,10		
58	10/07/2017 00:04:11	-23,60	-25,00		
59	10/07/2017 01:04:11	-23,30	-24,80		
60	10/07/2017 02:04:11	-23,40	-24,80		
61	10/07/2017 03:04:11	-23,30	-24,70		
62	10/07/2017 04:04:11	-23,20	-24,60		
63	10/07/2017 05:04:11	-22,80	-24,50		
64	10/07/2017 06:04:11	-22,90	-24,50		
65	10/07/2017 07:04:11	-23,00	-24,40		
66	10/07/2017 08:04:11	-22,80	-24,40		
67	10/07/2017 09:04:11	-21,90	-24,10		
68	10/07/2017 10:04:11	-22,00	-24,10		
69	10/07/2017 11:04:11	-22,00	-24,10		
70	10/07/2017 12:04:11	-23,50	-24,80		
